ocid,id,contracts/0/id,contracts/0/signatories/0/id,contracts/0/signatories/0/name
ocds-lcuori-11730,ocds-lcuori-11730/01-contract,11730,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11730,ocds-lcuori-11730/01-contract,11730,byP11K-byP1K8-byP1K8,MIGRACION Y EXTRANJERIA
ocds-lcuori-11651,ocds-lcuori-11651/01-contract,11651,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11651,ocds-lcuori-11651/01-contract,11651,NzBo0y-byP1K8-by4Gzd,SUBGERENCIA AREA ADMINISTRATIVA
ocds-lcuori-11702,ocds-lcuori-11702/01-contract,11702,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11702,ocds-lcuori-11702/01-contract,11702,byQwDr-byP1K8-lzWOzp,GERENCIA ADMINISTRATIVA
ocds-lcuori-11698,ocds-lcuori-11698/01-contract,11698,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11698,ocds-lcuori-11698/01-contract,11698,byQwDr-byP1K8-lzWOzp,GERENCIA ADMINISTRATIVA
ocds-lcuori-11697,ocds-lcuori-11697/01-contract,11697,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11697,ocds-lcuori-11697/01-contract,11697,byQwDr-byP1K8-lzWOzp,GERENCIA ADMINISTRATIVA
ocds-lcuori-11696,ocds-lcuori-11696/01-contract,11696,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11696,ocds-lcuori-11696/01-contract,11696,byPAjK-byP1K8-7zv2zR,GERENCIA DE FINANZAS Y ADMINISTRACION
ocds-lcuori-11693,ocds-lcuori-11693/01-contract,11693,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11693,ocds-lcuori-11693/01-contract,11693,byPAjK-byP1K8-7zv2zR,GERENCIA DE FINANZAS Y ADMINISTRACION
ocds-lcuori-11688,ocds-lcuori-11688/01-contract,11688,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11688,ocds-lcuori-11688/01-contract,11688,7zv12r-byP1K8-xK3gqK,COORDINACION DEPARTAMENTAL DE SANTA BARBARA
ocds-lcuori-11678,ocds-lcuori-11678/01-contract,11678,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11678,ocds-lcuori-11678/01-contract,11678,RKZayY-byP1K8-byP1K8,DIRECCION ADMINISTRATIVA IAIP
ocds-lcuori-11666,ocds-lcuori-11666/01-contract,11666,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11666,ocds-lcuori-11666/01-contract,11666,7zv12r-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA
ocds-lcuori-11601,ocds-lcuori-11601/01-contract,11601,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11601,ocds-lcuori-11601/01-contract,11601,7rEaPr-byP1K8-byP1K8,DIRECCION COORDINACION Y ADMINISTRACION
ocds-lcuori-11599,ocds-lcuori-11599/01-contract,11599,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11599,ocds-lcuori-11599/01-contract,11599,BzX17y-byP1K8-byP1K8,UNIDAD EJECUTORA DE PRONADERS
ocds-lcuori-11591,ocds-lcuori-11591/01-contract,11591,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11591,ocds-lcuori-11591/01-contract,11591,VyMDzX-byP1K8-7rEMr2,SERVICIOS ADMINISTRATIVOS
ocds-lcuori-11582,ocds-lcuori-11582/01-contract,11582,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11582,ocds-lcuori-11582/01-contract,11582,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
ocds-lcuori-11573,ocds-lcuori-11573/01-contract,11573,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11573,ocds-lcuori-11573/01-contract,11573,byP11K-byP1K8-byP1K8,MIGRACION Y EXTRANJERIA
ocds-lcuori-11564,ocds-lcuori-11564/01-contract,11564,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-11564,ocds-lcuori-11564/01-contract,11564,BzX17y-byP1K8-byP1K8,UNIDAD EJECUTORA DE PRONADERS
ocds-lcuori-11528,ocds-lcuori-11528/01-contract,11528,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
