ocid,id,contracts/0/id,contracts/0/suppliers/0/id,contracts/0/suppliers/0/name
ocds-lcuori-115792,ocds-lcuori-115792/3-contract,115792,HN-RTN-05019006504436,"ANPHAR, SOCIEDAD ANONIMA DE CAPITAL VARIABLE. (ANPHAR, S. A. DE C. V.)"
ocds-lcuori-113850,ocds-lcuori-113850/3-contract,113850,HN-RTN-08019999408461,REPRESENTACIONES Y DISTRIBUCIONES HERNANDEZ S. DE R. L.
ocds-lcuori-115398,ocds-lcuori-115398/3-contract,115398,HN-RTN-08019995304450,"FORMULAS QUIMICAS, S DE R.L."
ocds-lcuori-117219,ocds-lcuori-117219/3-contract,117219,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-113084,ocds-lcuori-113084/3-contract,113084,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-113083,ocds-lcuori-113083/3-contract,113083,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-113085,ocds-lcuori-113085/3-contract,113085,HN-RTN-05019995000152,"EMBOTELLADORA DE SULA,S.A"
ocds-lcuori-113089,ocds-lcuori-113089/3-contract,113089,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-113090,ocds-lcuori-113090/3-contract,113090,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113093,ocds-lcuori-113093/3-contract,113093,HN-RTN-05019999400238,JETSTEREO S.A DE C.V.
ocds-lcuori-113094,ocds-lcuori-113094/3-contract,113094,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113092,ocds-lcuori-113092/3-contract,113092,HN-RTN-08019006034679,Empresa Tecnologias ATM  S de R.L.
ocds-lcuori-113095,ocds-lcuori-113095/3-contract,113095,HN-RTN-08019995390633,"Cash Business, S. de R. L."
ocds-lcuori-113098,ocds-lcuori-113098/3-contract,113098,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-113097,ocds-lcuori-113097/3-contract,113097,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113099,ocds-lcuori-113099/3-contract,113099,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-113100,ocds-lcuori-113100/3-contract,113100,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-113103,ocds-lcuori-113103/3-contract,113103,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113102,ocds-lcuori-113102/3-contract,113102,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113104,ocds-lcuori-113104/3-contract,113104,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113107,ocds-lcuori-113107/3-contract,113107,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113106,ocds-lcuori-113106/3-contract,113106,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113108,ocds-lcuori-113108/3-contract,113108,HN-RTN-08019995390633,"Cash Business, S. de R. L."
ocds-lcuori-113111,ocds-lcuori-113111/3-contract,113111,HN-RTN-18079013613810,"BIMOSA, S. de R.L. "
ocds-lcuori-113110,ocds-lcuori-113110/3-contract,113110,HN-RTN-05019010314509,PBS HONDURAS S.A. DE C.V.
ocds-lcuori-113114,ocds-lcuori-113114/3-contract,113114,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-113115,ocds-lcuori-113115/3-contract,113115,HN-RTN-05019999400238,JETSTEREO S.A DE C.V.
ocds-lcuori-113116,ocds-lcuori-113116/3-contract,113116,HN-RTN-01071956011840,MEDITEC
ocds-lcuori-113113,ocds-lcuori-113113/3-contract,113113,HN-RTN-08019995358678,"Llanticentro FERCO, S. de R. L. de C. V."
ocds-lcuori-113134,ocds-lcuori-113134/3-contract,113134,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-113145,ocds-lcuori-113145/3-contract,113145,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-113156,ocds-lcuori-113156/3-contract,113156,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-113167,ocds-lcuori-113167/3-contract,113167,HN-RTN-08019995345152,CADENAS
